Case Number,Diagnos-tician,State,County,Area,Histo Number,Species,Year,No. Rec.,Sex,Age,Weight,Diagnosis,Other/Comments,Date Rec.,Date Final,Submitter,Agency,
389-14,Fenton,PA,Centre,Phillipsburg,W15-158,Bobcat,2014,1,Male,Juvenile,2.82 kg,Encephalomyelitis of unknown origin,#14WH0023.  Rabies and canine distemper virus were not detected.,12/03/2014,01/15/15,Brown,PAGC,
200-15 Addendum 2,Elsmo (Ruder),KY,"Christian, Adair, Casey, Taylor",Bobcat,W15-410,Bobcat,2015,7,Both,"Adult, Juv",2.5-8.2 kg,G: Hepatic necrosis.  A-G: Rabies and canine distemper viruses not detected,G: #KDFWR-W-2015-07 (M49).  Addendum 2: The liver sample tested negative for Francisella tularensis.,04/20/18,05/30/18,Hemberger,KYDFWR,
200-15 Addendum,Elsmo,KY,"Christian, Adair, Casey, Taylor",Bobcat,W15-410,Bobcat,2015,7,Both,"Adult, Juv",2.5-8.2 kg,G: Hepatic necrosis.  A-G: Rabies and canine distemper viruses not detected,G: #KDFWR-W-2015-07 (M49).  Addendum: The submitted intestinal parasites were identified as Toxocara cati and Taenia sp. ,05/07/2015,06/13/16,Stasiak,KYDFWR,
200-15,Elsmo,KY,"Christian, Adair, Casey, Taylor",Bobcat,W15-410,Bobcat,2015,7,Both,"Adult, Juv",2.5-8.2 kg,G: Hepatic necrosis.  A-G: Rabies and canine distemper viruses not detected,G: #KDFWR-W-2015-07 (M49). ,05/07/2015,07/09/2015,Stasiak,KYDFWR,
372-15,Bryan,KY,Franklin,Salato Center,W16-120,Bobcat,2015,1,Female,15 yrs,8.47 kg,"Multiple age-related lesions including thyroid hyperplasia, cardiomyopathy, and renal disease",#KDFWR-S-2015-02.  Rabies and canine distemper viruses were not detected.,08/18/15,09/28/15,Stasiak,KYDFWR,
234-19,Niedringhaus,KS,Lyon,"38.564446, -96.240303",W19-631,Bobcat,2019,1,Male,Adult,Unknown,Muscle degeneration; Pneumonia; Hepatozoon felis detected,"Rabies virus and the causative agent of tularemia, Francisella tularensis, were not detected.",05/23/19,06/18/19,Hesting,KSDWPT,
096-15,Fenton,WV,Greenbrier,Morris Branch Road,W15-252,Bobcat,2015,1,Female,Juvenile,2.55 kg,Poor body condition,No significant lesions were apparent during gross necropsy or microscopic examination.,03/13/15,04/22/15,,,
298-18,Dalton,FL,Collier,Corkscrew Swamp,W19-026,Bobcat,2018,1,Male,1.5 yrs,6.8 kg,Spinal cord and brainstem: Leukomyelopathy (diffuse). Presumptive vitamin A deficiency ,"Rabies virus, Canine distemper virus, West Nile virus and eastern equine encephalitis virus were not detected.",07/13/18,11/02/2018,Cusack/Cunningham,FLFWCC,
141-14,Last,KY,Taylor,Unknown,W14-173,Bobcat,2014,1,Female,Unknown,3.0 kg,Trauma,ID #F32.  Rabies and canine distemper viruses were not detected. Severe autolysis and postmortem scavenging hindered meaningful examination.,04/29/14,05/15/14,Palmer,KYDFWR,
625-15,Ruder,LA,Rapides,Unknown,W16-362,Bobcat,2015,1,Male,Adult,Unknown,Trauma (per submitter); No evidence of underlying infectious disease.,#VET2-RBC1,11/13/15,12/23/15,Berry,LADWF,
940-19,Weyna,FL,Collier,Corkscrew Swamp - Fish Farm,,Bobcat,2019,1,Male,9 mths,~5.5 lbs,,#191205-01,12/10/2019,,Cusack/Cunningham,FLFWCC,
248-17,Dalton,NC,Mecklenburg,Private residence,-,Chipmunk,2017,1,Female,Adult,75 g,Sepsis (Pasturella multocida isolated); verminous pneumonia (lungworms),,05/16/17,06/14/17,Medford,NCWRC,
047-16,Elsmo,SC,A: Edgefield. B: Saluda,A: between Johnston and Ward. B: Ridge Spring,W16-473,Coyote,2016,2,Male,"Adult, Juvenile",Unknown,A&B: Trauma.  A&B: Rabies and canine distemper viruses not detected.,A: #SC52M. B: #SC55M,01/28/16,03/08/2016,Hinton,UGA,
630-15,Ruder,KY,Fayette,"Spyglass Road, Lexington",W16-365,Coyote,2015,1,Female,Adult,11.97 kg,Canine distemper,#KDFWR-W-2015-65.  Rabies not detected,11/13/15,12/16/15,Stasiak,KYDFWR,
193-16,Ruder,KY,Logan,36.860841; 86.97391,W16-654,Coyote,2016,1,Female,Adult,11.8 kg,Canine distemper,#KDFWR-W-2016-51 Rabies not detected,04/07/2016,06/13/16,Stasiak,KYDFWR,
216-16,Niedringhaus,KS,Thomas,N39.54064 W101.29723,W16-662,Coyote,2016,1,Male,Unknown,Unknown,Canine distemper,Rabies virus not detected,04/21/16,05/31/16,Klag/Hesting,KSDWPT,
235-16,Bryan,KS,Lyon,"in pasture at 38.651455 -96.221230, Jacksonville",W16-701,Coyote,2016,1,Female,Subadult,8.3 kg,Canine distemper,Rabies not detected,05/03/2016,06/28/16,Hesting,KSDWPT,
694-16,Bahnson,NE,Box Butte,2 miles south of Alliance,W17-312,Coyote,2016,1,Male,Adult,13.6 kg,Canine distemper,#COY-NW11302016,12/09/2016,01/23/17,Powell/Nordeen,NEGPC,
514-17,Niedringhaus,KS,Finney,"37.946278, -100.918015",W18-143,Coyote,2017,1,Female,0.5 yr,4.55 kg,Canine distemper,No rabies virus was detected.  Prion that causes chronic wasting disease was not detected.,09/19/17,10/11/2017,Meier,KSDWPT,
350-18,Dalton,LA,St. Tammany,"30.431528, -90.185908",W19-056,Coyote,2018,1,Female,Juvenile,8 kg,Canine distemper,#YOTO-JF-StTammany+5August2018. Rabies virus was not detected.,08/07/2018,08/27/18,Burks/LaCour,LADWF,
560-18,Kunkel,LA,St. Tammany,"UTM 15R 777793.97m E, 3372770.42m N",W19-213,Coyote,2018,1,Male,Juvenile,6.805 kg,Canine distemper,Rabies virus was not detected.,10/16/18,10/30/18,Burks/LaCour,LADWF,
329-15,Bryan,KS,Geary,UTM 14S 0714781 4327751,-,Coyote,2015,1,Male,Unknown,Unknown,Canine distemper and rabies viruses were not detected.,,07/23/15,08/21/15,Ricketts,KS STUniv,
072-15,Niedringhaus,KS,Riley,Konza Prairie,W15-260,Coyote,2015,1,Male,Adult,Unknown,Canine distemper virus,Rabies not detected,03/04/2015,04/03/2015,,,
128-15,Elsmo,GA,McDuffie,Thomson,W15-314,Coyote,2015,1,Female,1 yr,10.5 kg,Canine distemper virus,#34205.  Rabies not detected,03/26/15,06/05/2015,,,
128-16,Elsmo,KY,Marshall,West of Benton,W16-573,Coyote,2016,1,Female,Juvenile,11.76 kg,Emaciation; Pediculosis (Trichodectes canis identified),#KDFWR-W-2016-24. Rabies and canine distemper viruses were not detected.,03/04/2016,04/19/16,Black/Stasiak,KYDFWR,
078-14,Last,PA,Elk,Horton,W14-49,Coyote,2014,1,Male,Adult,Unknown,Endogenous lipid pneumonia (incidental finding),,02/25/14,03/24/14,Brown,PAGC,
207-14,Elsmo,MO,Unknown,Unknown,W15-05,Coyote,2014,1,Female,Adult,Unknown,Granulomatous pneumonia,Coyote was trapped and euthanized in Nebraska as part of a management study.,07/16/14,08/12/2014,Straka,MODOC,
430-15,Bahnson,KY,Muhlenburg,Central City,W16-159,Coyote,2015,1,Female,Juvenile,7.53 kg,Melena of unknown origin; Canine parvovirus type 2 detected.,#KDFWR-W-2015-34. Rabies not detected,09/09/2015,10/15/15,Stasiak,KYDFWR,
484-16,Ruder,KY,Fayette,Lexington,W17-152,Coyote,2016,1,Female,Adult,13.5 kg,No significant findings (no evidence of underlying disease),#KDFWR-W-2016-100,09/09/2016,11/21/16,Smitson/Stasiak,KYDFWR,
223-17,Niedringhaus,WV,Ritchie,near Pullman,W17-629,Coyote,2017,1,Female,Adult,11.89 kg,Oral papillomatosis,No rabies or canine distemper virus was detected.  ,04/27/17,05/26/17,Crum,WVDNR,
266-18,Niedringhaus,WV,Upshur,"Hall Road (39.0201, 80.0951)",W19-001,Coyote,2018,1,Female,Young adult,12.9 kg,Oral papillomatosis,Rabies virus and canine distemper virus were not detected.,06/26/18,08/13/18,Crum,WVDNR,
192-19,Dalton,MO,Taney,Vicinity of Taneyville,W19-582,Coyote,2019,1,Unknown,Adult,Unknown,Oral papillomatosis,#19044,04/23/19,05/02/2019,Cordell/Russell,MODOC,
321-14,Elsmo,ND,"Grant, Kidder, and Sioux",Unknown,W15-111,Coyote,2014,11,Both,Unknown,Unknown,Pediculosis (Trichodectes canis identified),"There was no microscopic evidence of primary bacterial, fungal, and other parasitic cause of the skin lesions.",10/16/14,11/18/14,Grove,NDGFD,
129-15,Elsmo,GA,Oglethorpe,Unknown,W15-315,Coyote,2015,1,Female,1 yr,11.2 kg,Pediculosis (Trichodectes canis identified),#CP-1,03/26/15,06/04/2015,,,
582-17,Niedringhaus,KS,Lyon,38.386127; -96.116963,W18-171,Coyote,2017,1,Male,Juvenile,5.675 kg,Pediculosis (Trichodectes canis identified),Rabies and canine distemper viruses were not detected.,10/03/2017,10/20/17,Hesting,KSDWPT,
327-14,Niedringhaus,LA,Winn,Winnfield,W15-117,Coyote,2014,1,Female,Juvenile,6.2 kg,Poor body condition,No evidence of infectious disease was identified in this coyote.,10/21/14,11/21/14,Bordelon,LADWF,
398-15,Bryan,WV,Randolph,Coalton,W16-143,Coyote,2015,1,Male,Adult,Unknown,Poor nutritional conditional,Rabies virus or canine distemper virus not detected,08/27/15,09/21/15,Crum,WVDNR,
114-14,Last,NC,Wake,Oak Street,W14-123,Coyote,2014,1,Male,Young Adult,12.3 kg,Rabies,Canine distemper virus was not detected.  No additional examination of other tissues were performed.,04/01/2014,05/09/2014,Palamar,NCWRC,
038-16,Elsmo,KS,Finney,Garden City,W16-465,Coyote,2016,1,Female,Adult,Unknown,Sarcoptic mange,Neither rabies or canine distemper virus was detected.,01/26/16,03/07/2016,Meier,KSDWPT,
123-16,Elsmo,KS,Unknown,Unknown,W16-570,Coyote,2016,1,Unknown,Unknown,Unknown,Subcutaneous mineral deposition (calcinosis circumscripta),,03/03/2016,04/04/2016,Peek,KSDWPT,
411-16,Dalton,FL,Pasco,San Antonio,W17-73,Coyote,2016,1,Male,Adult,11 kg,Suspected ethylene glycol (antifreeze) toxicosis,Rabies and canine distemper viruses were not detected.,08/10/2016,09/23/16,Clemons/Cunningham,FLFWCC,
054-16,Fenton,GA,Columbia,Appling,W16-482,Coyote,2016,1,Female,Adult,9.765 kg,Trauma (gunshot),#GA13F. Recent infection with rabies or canine distemper virus was not detected.,02/01/2016,03/04/2016,Hinton,UGA,
055-16,Fenton,GA,Lincoln,Lincolnton,W16-483,Coyote,2016,1,Female,Adult,12.96 kg,Trauma (suspect gunshot),#GA03F. Rabies or canine distemper virus was not detected.,02/01/2016,03/04/2016,Hinton,UGA,
064-15,Niedringhaus,GA,Lincoln,"Ambrose Bardeen Rd, Lincolnton",W15-256,Coyote,2015,1,Male,Adult,13.78 kg,Trauma and canine distemper,Rabies and parvovirus were not detected.,02/26/15,04/03/2015,Hinton,UGA-Warnell,
053-16,Elsmo,AL,Saluda,Ward,W16-478,Coyote,2016,1,Male,Adult,16.15 kg,Trauma; Rabies and canine distemper virus not detected,#AL60M,02/01/2016,03/07/2016,Hinton,UGA,
112-14 Addendum,Ballard,LA,East Feliciana,5 miles northeast of Jackson,W14146,Coyote,2014,1,Male,Adult,Unknown,Undetermined,Canine parvovirus antigen was not detected by immunohistochemistry on a section of tongue.,03/28/14,05/28/14,Ernst,LADWF,
112-14,Ballard,LA,East Feliciana,5 miles northeast of Jackson,W14146,Coyote,2014,1,Male,Adult,Unknown,Undetermined,The samples were negative for canine distemper virus and rabies virus.,03/28/14,05/16/14,Ernst,LADWF,
171-18,Niedringhaus,VA,,Roanoke City,W18-488,Coyote,2018,1,Male,Young adult,Unknown,Undetermined,Canine distemper virus and parvovirus were not detected.  Mites consistent with Demodex sp. were in the skin.,05/02/2018,05/22/18,Smyth/Kirchgessner,VADGIF,
286-17,Dalton,PA,Erie,Presque Isle State Park,W17-705,Coyote,2017,1,Male,Adult,10.7 kg,Severe heartworm disease; emaciation. Severe vertebral degeneration and spinal cord compression (suspect).  Rabies virus and canine distemper virus not detected,#17NW0026,06/09/2017,06/23/17,Coup/Brown,PAGC,
258-16,Elsmo,KS,Dickinson,"Tom Smith Circle, Abilene",W16-698,Eastern Fox Squirrel,2016,1,2,Male,"300, 260 g",A and B: Trauma,No evidence of underlying infectious disease in either squirrel,05/13/16,06/28/16,Hesting,KSDWPT,
081-15,Niedringhaus,KS,Sedgwick,"4907 Portwest Circle, Wichita",W15-271,Eastern Fox Squirrel,2015,1,Male,Adult,0.68 kg,Gunshot trauma,Tularemia was not detected.,03/06/2015,04/03/2015,,,
306-15 Addendum,Niedringhaus,LA,St. Mary,Bayou Vista,W16-25,Eastern Fox Squirrel,2015,1,Female,Juvenile,"0.27, 0.34 kg","Squirrel A: Anticoagulant rodenticide intoxication (Diphacinone detected).  Squirrel B: Anticoagulant rodenticide exposure, suspect intoxication (Diphacinone detected)",Seizure tag number is 76851.  Carcasses and Samples were returned to LADWF Enforcement.,07/14/15,09/30/15,Gaspard,LADWF,
306-15,Niedringhaus,LA,St. Mary,Bayou Vista,W16-25,Eastern Fox Squirrel,2015,1,Female,Juvenile,"0.27, 0.34 kg","Squirrel A: Anticoagulant rodenticide intoxication (Diphacinone detected).  Squirrel B: Anticoagulant rodenticide exposure, suspect intoxication (Diphacinone detected)",Seizure tag number is 76851.,07/14/15,08/26/15,Gaspard,LADWF,
431-15,Bahnson,SC,Spartanburg,Private residence,W16-160,Eastern Gray Squirrel,2015,1,Female,Juvenile,140 g,Anticoagulant rodenticide (Diphacinone) intoxication,Tularemia was not detected.,09/09/2015,10/21/15,Cloninger,SCDNR,
394-19,Dugovich,GA,Fulton,"Metropolitan Parkway, Atlanta",W19-785,Eastern Gray Squirrel,2019,1,Male,Adult,Unknown,Anticoagulant rodenticide toxicosis (Bromadiolone and brodifacoum),"Brodifacoum: 850 PPB, Bromadiolone: 7300 PPB",07/26/19,09/09/2019,Von Seggern,GADNR,
288-19,Dugovich,AR,Pulaski,Unknown,W19-719,Eastern Gray Squirrel,2019,1,Unknown,Adult,375 g,Anticoagulant rodenticide toxicosis (diphacinone),#AR2019-010.  No evidence of tularemia.,06/18/19,08/02/2019,Ballard,ARGFC,
343-16,Ruder,FL,Unknown,Holmes Beach,W17-19,Eastern Gray Squirrel,2016,1,Female,Adult,340 g,Bilateral ocular tumor (sarcoma),#160707-01.  Francisella tularensis (tularemia) and Yersinia pestis (plague were not detected.,07/08/2016,10/11/2016,Shender/Cunningham,FLFWCC,
382-16,Bahnson,MO,Jefferson,"Biscayne, Arnold",-,Eastern Gray Squirrel,2016,1,Unknown,Unknown,Unknown,Non-diagnostic specimen,#16096.  ,07/29/16,08/22/16,Lockard/Straka,MODOC,
247-17,Dalton,NC,Mecklenburg,Private residence,-,Eastern Gray Squirrel,2017,1,Male,Adult,480 g,Trauma (gunshot wounds). Rabies virus and Francisella tularensis not detected,Multiple .22 rifle pellets and air rifle pellet associated with hemorrhage,05/16/17,05/31/17,Medford,NCWRC,
162-14 Addendum,Elsmo,FL,Columbia,Fort White,W14-193,Feral Hog,2014,1,Female,Adult,55 kg,Addendum microbiology: Sequencing PCR product revealed a 99% similarity to Vagococcus carniphilus strain H99,FWC #140522-01,05/23/14,7/15/14      File only,Cunningham,FLFWCC,
162-14,Elsmo,FL,Columbia,Fort White,W14-193,Feral Hog,2014,1,Female,Adult,55 kg,Bacterial dermatitis and septicemia (Vagococcus carniphilus isolated),FWC #140522-01,05/23/14,07/01/2014,Cunningham,FLFWCC,
252-16,Elsmo,LA,Cameron,Sabine National Wildlife Refuge,W16-692,Feral Hog,2016,1,Female,Adult,64 kg,Bacterial dermatitis; hepatic parasite migration suspected,The virus that causes pseudorabies was not detected.,05/11/2016,07/06/2016,LaCour,LADWF,
328-15,Bryan,LA,West Feliciana,KPAQ Paper Mill,W16-74,Feral Hog,2015,1,Female,Adult,36.4 kg,"Eosinophilic and granulomatous myocarditis, nephritis, pneumonia, and hepatitis",#PP15053,07/23/15,09/15/15,LaCour,LADWF,
109-15,Niedringhaus,LA,Avoyelles,Unknown,-,Feral Hog,2015,1,Female,Adult,90 kg,Porphyria,#VET2-AVS2,03/20/15,05/27/15,,,
284-17,Dalton,FL,Unknown,Deseret Ranch,W17-703,Feral Hog,2017,1,Unknown,Unknown,Unknown,Sparganosis,#170606-01.  Likely Spirometra mansoni; SCWDS parasitology lab is performing molecular testing to identify the species.,06/08/2017,06/19/17,Clemons/Cunningham,FLFWCC,
617-15,Ruder,LA,East Feliciana,Avondale Boy Scout Reservation,W16-355,Feral Swine,2015,1,Male,3 yrs,183 lbs,Foreign body (plant material) migration; Antibodies to Leptospira interrogans serovar bratislava detected,#FP15-003,11/11/2015,12/21/15,LaCour,LADWF,
058-17,Bahnson,LA,St. Landry,UTM 15R 593090.41E 3395660.49N,W17-421,Feral Swine,2017,1,Female,Adult,34 kg,Reactive lymph node,Infection with Brucella spp. was not detected.,01/25/17,02/17/17,Legleu,LADWF,
036-16,Ruder,LA,Cameron,Sabine National Wildlife Refuge,W16-463,Feral Swine,2016,1,Male,8 yrs,82 kg,Scrotal dermatitis; antibodies against pseudorabies virus detected,#FP16-001,01/27/16,04/05/2016,LaCour,LADWF,
125-16,Elsmo,KS,Russell,City of Luray,W16-571,Fox Squirrel,2016,2,Male,Adult,Unknown,A&B: Notoedric mange,Tularemia and rabies were not detected.,03/03/2016,04/06/2016,Cikanek/Hesting,KSDWPT,
090-18,Bahnson,KY,A-B: Lawrence. C-G: Carter,"A: Yatesville Lake WMA. B: 38 1424.75, -82.57'56.38. C-G: Grayson Lake WMA",W18-406,Fox Squirrel,2018,7,"A, D, E, Female. B, C, F, G: Male",Unknown,A: 510 g. B: 350 g. C: 530 g. D: 285 g. E: 270 g. F: 290 g. G: 575 g,A-G: No evidence of disease detected.,"#KDFWR-W-2018-20.  The causative agent of tularemia, Francisella tularensis, was not detected in the three squirrels tested.",03/09/2018,03/26/18,Rhoden//Morgan/Stasiak,KYDFWR,
090-15,Fenton,WV,"Grant, Kidder, and Sioux",Twin Mountain,W15-283,Fox Squirrel,2015,1,Female,Adult,0.68 kg,Bacterial sepsis,"Tularemia, rabies, and canine distemper viruses were not detected",03/12/2015,04/08/2015,,,
007-16,Bahnson,KS,Sherman,Goodland,W16-427,Fox Squirrel,2016,1,Female,Adult,0.58 kg,Previous trauma (suspect attempted predation),Previous trauma (suspect attempted predation),01/06/2016,02/02/2016,Sowards,KSDWPT,
147-14,Fenton,KS,Lyon,Americus,W14-181;    -182,Fox Squirrel,2014,2,Both,Juvenile,700-800 g,Trauma,Shot with an air rifle. Tularemia not detected.,05/06/2014,05/29/14,Hesting,KSDWPT,
179-15,Fenton,LA,Grant,Bodies Landing,W15-377,Fox Squirrel,2015,1,Female,Juv,520 g,Trauma,No evidence of underlying infection disease.  Tularemia was not detected.,,05/13/15,,,
594-16,Bahnson,KS,Sherman,"Clark, Goodland",W17-245,Fox Squirrel,2016,1,Male,Adult,675 g,Undetermined,Rabies and tularemia were not detected.,10/21/16,12/16/16,Klag,KSDWPT,
425-17,Bahnson,KS,Lyon,Emporia,W18-084,Fox Squirrel,2017,1,Male,Juvenile,160 g,Undetermined,"Franciscella tularensis, Yersinia pestis, and rabies virus were not detected.",08/17/17,09/18/17,Hesting,KSDWPT,
562-18,Niedringhaus,KS,Jefferson,Valley Falls,W19-216,Fox Squirrel,2018,1,Male,Adult,0.68 kg,Undetermined,West Nile virus and rabies virus were not detected.  Francisella tularensis was not detected.,10/16/18,12/05/2018,Warner,KSDWPT,
009-17,Ruder,LA,East Baton Rouge,Quail Drive,W17-355,Fox Squirrel,2017,1,Male,1,Unknown,Undetermined (suspect intestinal rupture),#SQ-AM-EBR-3Jan17.  Francisella tularensis and rabies virus were not detected.,01/04/2017,03/27/17,Anderson/LaCour,LADWF,
461-18,Ruder,KS,Thomas,"39.399962, -101.035276",W19-154,Fox Squirrel,2018,2,Male,Juvenile,A: 155 g. B: 140 g,West Nile virus infection and associated disease,"Squirrel A tested negative for Francisella tularensis, the causative agent of tularemia.",09/18/18,11/12/2018,Athen/Hesting,KSDWPT,
123-14,Elsmo,NC,High Point,High Point,W14-154,Gray Fox,2014,2,Female,Adult,2.915 kg,A&B: Canine distemper virus,Negative for rabies.,04/08/2014,05/16/14,Palamar,NCWRC,
098-16,Bahnson,VA,-,Lynchburg City,"W16-530, W16-531",Gray Fox,2016,2,Both,Adult,"3.1, 3.88 kg",A&B: Canine distemper virus,Rabies not detected,02/23/16,03/11/2016,Smyth,VADGIF,
002-15 Addendum,Elsmo,VA,Waynesboro,A: Lyndhurst Rd. B: Lew Dewitt Rd. C: Meadow Beauty Ct.,W15-190,Gray Fox,2015,3,Both,Adult,3.6-4.11 kg,"A,B,&C: Canine distemper virus. C: Bacterial bronchopneumonia","Bacterial culture of the lungs from fox ""C"" revealed heavy growth of Streptococcus canis.",01/07/2015,02/23/15,Kirchgessner,VADGIF,
002-15,Elsmo,VA,Waynesboro,A: Lyndhurst Rd. B: Lew Dewitt Rd. C: Meadow Beauty Ct.,W15-190,Gray Fox,2015,3,Both,Adult,3.6-4.11 kg,"A,B,&C: Canine distemper virus. C: Bacterial bronchopneumonia",Rabies not detected,01/07/2015,02/03/2015,Kirchgessner,VADGIF,
562-15,Fenton,NC,Brunswick,south of Hwy 21,W16-316,Gray Fox,2015,3,Both,"Juvenile, Adult",2.285 - 3.325 kg,"A,B,&C: Canine distemper virus; C: Listeria monocytogenes isolated",,10/15/15,11/24/15,Padgett,NCWRC,
081-19,Niedringhaus,GA,Fulton,"20th Street NW, Atlanta",W19-466,Gray Fox,2019,2,Female,A: Juvenile. B: Adult,A: 2.77 kg. B: 4.25 kg,A-B: No abnormalities detected,Rabies and canine distemper viruses were not detected.,02/20/19,03/05/2019,Reese/Johannsen,GADNR,
311-16,Bryan,NC,Brunswick,Bald Head Island,W16-755,Gray Fox,2016,1,Male,Adult,3.8 kg,Anticoagulant rodenticide intoxication (Bromadiolone) and exposure (Brodifacoum and Difethialone),"Toxicology results from the liver revealed bromadiolone at 1000 ppb, and traces of brodifacoum and difethialone.",06/16/16,08/02/2016,Palamar,NCWRC,
057-16,Fenton,FL,Wakulla,"Allen Harvey Road, Crawfordville",W16-485,Gray Fox,2016,1,Female,Adult,3.460 kg,Canine distemper,Rabies virus not detected,02/02/2016,03/07/2016,Carroll/Cunningham,FLFWCC,
107-16,Bahnson,VA,Campbell,Rustburg,W16-544,Gray Fox,2016,1,Male,Adult,2.85 kg,Canine distemper,Rabies not detected.,02/26/16,03/22/16,Smyth,VADGIF,
110-16,Elsmo,LA,Morehouse,"Journeys End Rd, Mer Rouge",W16-547,Gray Fox,2016,1,Female,Adult,3.04 kg,Canine distemper,Rabies not detected.,03/01/2016,03/30/16,Berry,LADWF,
593-16,Bahnson,LA,St. Tammany,"Hwy 41, Bush",W17-244,Gray Fox,2016,1,Male,Adult,2.7 kg,Canine distemper,Rabies not detected,10/21/16,12/16/16,"LeBlanc, LaCour",LADWF,
647-16,Niedringhaus,LA,East Feliciana,"Meadwood Drive, Slaughter",W17-276,Gray Fox,2016,1,Male,Adult,2.86 kg,Canine distemper,Rabies not detected,11/15/16,01/03/2017,LaCour,LADWF,
708-16,Fenton,NC,Johnston,"Second Street, Clayton",W17-326,Gray Fox,2016,1,Female,Juvenile,2.90 kg,Canine distemper,Rabies not detected,12/16/16,01/24/17,Batts/Palamar,NCWRC,
027-17,Dalton,NC,New Hanover,"Grainger Point Road, Wilmington",W17-405,Gray Fox,2017,1,Male,Adult,4 kg,Canine distemper,Rabies not detected,01/10/2017,02/17/17,Kent,NCWRC,
181-17,Ruder,LA,Natchitoches,"Miller Road, Marthaville",W17-584,Gray Fox,2017,1,Male,Adult,3.5 kg,Canine distemper,Rabies not detected,04/04/2017,05/23/17,Dailey/Berry,LADWF,
234-17,Ruder,NC,Pitt,"York Road, Greenville",W17-638,Gray Fox,2017,1,Female,Adult,3.1 kg,Canine distemper,Rabies not detected,05/04/2017,06/30/17,Kent,NCWRC,
592-17,Niedringhaus,WV,Randolph,Alpena,W18-174,Gray Fox,2017,1,Male,Adult,2.975 kg,Canine distemper,Rabies virus was not detected,10/05/2017,10/18/17,Crum,WVDNR,
153-18,Ruder,NC,Columbus,Delco Cemetery Road,W18-472,Gray Fox,2018,1,Male,Adult,3.45 kg,Canine distemper,Rabies virus was not detected.,04/20/18,06/11/2018,Harrelson,NCWRC,
679-18,Kunkel,LA,Calcasieu,"West Presidential Circle, Moss Bluff",W19-324,Gray Fox,2018,1,Unknown,Adult,2.7 kg,Canine distemper,Rabies virus not detected,12/11/2018,01/09/2019,Legleu/LaCour,LADWF,
029-19,Niedringhaus,MO,Boone,"39.107697, -92.192999",W19-395,Gray Fox,2019,1,Female,Adult,4.05 kg,Canine distemper,#18274.  Rabies virus was not detected.,01/15/19,01/25/19,Russell,MODOC,
094-19,Niedringhaus,NC,Gaston,Dallas city limits,W19-496,Gray Fox,2019,1,Male,Adult,3.29 kg,Canine distemper,Rabies virus was not detected.,02/26/19,03/15/19,Ray,NCWRC,
099-19,Niedringhaus,NC,Wake,Chapanoke Road,W19-494,Gray Fox,2019,1,Male,Adult,4.035 kg,Canine distemper,Rabies virus was not detected.,03/01/2019,03/15/19,Batts,NCWRC,
836-19,Kunkel,NC,Hertford,"Sunset Avenue, Ahoskie",W19-1013,Gray Fox,2019,1,Female,Juvenile,2.7 kg,Canine distemper,Rabies virus was not detected.,11/05/2019,11/20/19,Turner,NCWRC,
820-19,Radisic,NC,Hertford,Town of Ahoski,W19-994,Gray Fox,2019,1,Female,Adult,Unknown,Canine distemper (due to canine morbillivirus),Rabies virus was not detected.,10/31/19,12/05/2019,Turner,NCWRC,
020-14,Elsmo,SC,Beaufort,Harbor Island/ Hunting Island State Park,,Gray Fox,2014,2,Male,Adult,Unknown,Canine distemper virus,Negative for Toxoplasma gondii organisms.,01/14/14,02/25/14,Segars,SCDNR,
051-14,Ballard,GA,Dougherty,31.559397N    -84.167918W,,Gray Fox,2014,1,Male,Adult,3.9 kg,Canine distemper virus,Negative for rabies,02/03/2014,03/05/2014,Howze,GADNR,
052-14,Ballard,GA,Dougherty,31.579785N    -84.090851W,,Gray Fox,2014,1,Unknown,Adult,~5 kg,Canine distemper virus,Negative for rabies,02/03/2014,03/05/2014,Howze,GADNR,
068-14,Elsmo,LA,St. Tammany,Mandeville,W14-16,Gray Fox,2014,1,Female,Adult,2.16 kg,Canine distemper virus,Negative for rabies,02/19/14,03/24/14,Ernst,LADWF,
300-18,Bahnson,GA,Baldwin,Milledgeville,W19-028,Gray Fox,2018,1,Male,Juvenile,1.8 kg,Canine distemper virus,Rabies virus was not detected.,07/17/18,08/06/2018,Rushton,GADNR,
024-19,Dalton,AR,Pope,Russellville,W19-380,Gray Fox,2019,1,Male,Adult,3.2 kg,Canine distemper virus,Rabies virus was not detected. No evidence of infection with canine parvovirus,01/11/2019,01/29/19,Ballard,ARGFC,
070-15,Niedringhaus,KY,Clay,"236 Lee Sizemore Rd., Manchester",W15-259,Gray Fox,2015,1,Male,Adult,Unknown,Canine distemper virus and suspect trauma,Rabies not detected,03/03/2015,03/23/15,,,
727-19,Kunkel,PA,Luzerne,"41.267086, -75.878970",-,Gray Fox,2019,1,Unknown,Adult,Unknown,Canine distemper virus not detected,#P1925265,10/08/2019,10/22/19,Luley,PA StADL,
059-14,Ballard,LA,Grant,,W14-09,Gray Fox,2014,1,Male,Subadult,3.06 kg,Canine distemper; disseminated toxoplasmosis; hepatic nematodiasis (Calodium hepaticum),Negative for rabies.,02/07/2014,03/27/14,Holten,LADWF,
